,금융기관별,구별,동별,2018 년,2019 년,2020 년,2021 년,2022 년
0,우리은행,종로구,사직동,2.0,2.0,1.0,2.0,2.0
1,우리은행,종로구,삼청동,1.0,1.0,1.0,1.0,1.0
2,우리은행,종로구,부암동,1.0,1.0,1.0,1.0,0.0
3,우리은행,종로구,평창동,1.0,1.0,1.0,1.0,1.0
4,우리은행,종로구,교남동,0.0,0.0,1.0,1.0,1.0
5,우리은행,종로구,가회동,1.0,1.0,1.0,1.0,1.0
6,우리은행,종로구,종로1.2.3.4가동,8.0,8.0,6.0,6.0,5.0
7,우리은행,종로구,종로5.6가동,2.0,1.0,1.0,1.0,1.0
8,우리은행,종로구,창신1동,1.0,1.0,1.0,1.0,1.0
9,우리은행,종로구,창신2동,1.0,1.0,1.0,1.0,1.0
10,우리은행,종로구,숭인2동,1.0,1.0,1.0,1.0,1.0
11,우리은행,종로구,청운효자동,1.0,1.0,1.0,1.0,1.0
12,우리은행,종로구,혜화동,2.0,2.0,2.0,2.0,2.0
13,우리은행,중구,소공동,3.0,3.0,2.0,2.0,2.0
14,우리은행,중구,회현동,4.0,4.0,4.0,5.0,5.0
15,우리은행,중구,명동,7.0,6.0,7.0,6.0,5.0
16,우리은행,중구,필동,1.0,1.0,1.0,1.0,1.0
17,우리은행,중구,장충동,2.0,2.0,2.0,2.0,0.0
18,우리은행,중구,광희동,5.0,5.0,4.0,3.0,3.0
19,우리은행,중구,을지로동,4.0,3.0,3.0,3.0,3.0
20,우리은행,중구,황학동,1.0,1.0,1.0,0.0,0.0
21,우리은행,중구,중림동,2.0,2.0,2.0,2.0,2.0
22,우리은행,중구,신당동,1.0,1.0,1.0,1.0,1.0
23,우리은행,중구,다산동,1.0,1.0,1.0,1.0,1.0
24,우리은행,중구,약수동,1.0,1.0,1.0,1.0,1.0
25,우리은행,용산구,남영동,1.0,1.0,1.0,1.0,1.0
26,우리은행,용산구,원효로2동,1.0,1.0,1.0,1.0,1.0
27,우리은행,용산구,이촌1동,1.0,1.0,1.0,1.0,1.0
28,우리은행,용산구,이태원1동,0.0,0.0,0.0,0.0,1.0
29,우리은행,용산구,이태원2동,1.0,1.0,1.0,1.0,0.0
30,우리은행,용산구,서빙고동,1.0,1.0,0.0,0.0,0.0
31,우리은행,용산구,청파동,1.0,1.0,1.0,0.0,0.0
32,우리은행,용산구,원효로1동,1.0,1.0,1.0,1.0,0.0
33,우리은행,용산구,한강로동,6.0,6.0,5.0,5.0,5.0
34,우리은행,용산구,한남동,2.0,2.0,2.0,2.0,2.0
35,우리은행,성동구,마장동,1.0,1.0,1.0,1.0,1.0
36,우리은행,성동구,행당1동,2.0,1.0,1.0,1.0,1.0
37,우리은행,성동구,금호4가동,1.0,1.0,1.0,1.0,1.0
38,우리은행,성동구,성수1가1동,1.0,1.0,1.0,1.0,1.0
39,우리은행,성동구,성수1가2동,1.0,1.0,1.0,1.0,0.0
40,우리은행,성동구,성수2가3동,2.0,2.0,2.0,2.0,2.0
41,우리은행,성동구,용답동,1.0,1.0,0.0,0.0,0.0
42,우리은행,광진구,군자동,2.0,2.0,2.0,1.0,1.0
43,우리은행,광진구,중곡4동,1.0,1.0,1.0,1.0,1.0
44,우리은행,광진구,구의2동,1.0,1.0,1.0,0.0,0.0
45,우리은행,광진구,구의3동,1.0,1.0,1.0,1.0,1.0
46,우리은행,광진구,광장동,2.0,2.0,2.0,2.0,2.0
47,우리은행,광진구,자양1동,2.0,1.0,1.0,1.0,1.0
48,우리은행,광진구,자양3동,1.0,1.0,1.0,1.0,0.0
49,우리은행,광진구,자양4동,1.0,1.0,1.0,1.0,1.0
50,우리은행,동대문구,회기동,2.0,2.0,1.0,1.0,1.0
51,우리은행,동대문구,휘경2동,1.0,1.0,2.0,2.0,2.0
52,우리은행,동대문구,청량리동,1.0,1.0,0.0,0.0,0.0
53,우리은행,동대문구,용신동,1.0,1.0,1.0,1.0,1.0
54,우리은행,동대문구,제기동,1.0,1.0,1.0,1.0,1.0
55,우리은행,동대문구,전농1동,1.0,1.0,1.0,1.0,1.0
56,우리은행,동대문구,전농2동,1.0,1.0,0.0,0.0,0.0
57,우리은행,동대문구,답십리1동,1.0,1.0,1.0,1.0,1.0
58,우리은행,동대문구,장안1동,2.0,2.0,2.0,2.0,1.0
59,우리은행,동대문구,장안2동,1.0,1.0,1.0,1.0,1.0
60,우리은행,동대문구,이문1동,1.0,1.0,1.0,1.0,1.0
61,우리은행,중랑구,면목7동,1.0,1.0,1.0,1.0,1.0
62,우리은행,중랑구,상봉2동,1.0,1.0,1.0,1.0,1.0
63,우리은행,중랑구,중화2동,1.0,1.0,1.0,1.0,0.0
64,우리은행,중랑구,묵1동,1.0,1.0,1.0,1.0,1.0
65,우리은행,중랑구,망우3동,1.0,1.0,1.0,1.0,1.0
66,우리은행,중랑구,신내1동,1.0,1.0,1.0,1.0,0.0
67,우리은행,중랑구,신내2동,1.0,1.0,1.0,1.0,1.0
68,우리은행,중랑구,망우본동,1.0,1.0,1.0,1.0,1.0
69,우리은행,성북구,돈암2동,0.0,0.0,0.0,0.0,1.0
70,우리은행,성북구,보문동,1.0,1.0,1.0,1.0,0.0
71,우리은행,성북구,정릉3동,1.0,1.0,1.0,1.0,1.0
72,우리은행,성북구,길음1동,1.0,1.0,1.0,1.0,1.0
73,우리은행,성북구,길음2동,0.0,0.0,0.0,0.0,1.0
74,우리은행,성북구,월곡1동,1.0,1.0,1.0,1.0,1.0
75,우리은행,성북구,월곡2동,1.0,1.0,1.0,1.0,1.0
76,우리은행,성북구,장위1동,1.0,1.0,1.0,1.0,1.0
77,우리은행,성북구,삼선동,2.0,2.0,2.0,2.0,2.0
78,우리은행,성북구,석관동,1.0,1.0,1.0,1.0,1.0
79,우리은행,강북구,수유3동,2.0,1.0,1.0,1.0,1.0
80,우리은행,강북구,미아동,1.0,1.0,1.0,1.0,1.0
81,우리은행,강북구,송천동,1.0,1.0,1.0,1.0,0.0
82,우리은행,강북구,인수동,1.0,1.0,1.0,0.0,0.0
83,우리은행,도봉구,방학1동,2.0,2.0,2.0,2.0,2.0
84,우리은행,도봉구,방학3동,1.0,1.0,1.0,1.0,0.0
85,우리은행,도봉구,창4동,1.0,1.0,1.0,1.0,1.0
86,우리은행,도봉구,창5동,1.0,1.0,1.0,1.0,1.0
87,우리은행,노원구,공릉2동,2.0,2.0,2.0,2.0,2.0
88,우리은행,노원구,하계1동,1.0,1.0,1.0,0.0,0.0
89,우리은행,노원구,중계1동,1.0,1.0,1.0,1.0,1.0
90,우리은행,노원구,중계4동,1.0,1.0,1.0,1.0,1.0
91,우리은행,노원구,상계8동,1.0,1.0,1.0,1.0,1.0
92,우리은행,노원구,상계6.7동,4.0,2.0,2.0,2.0,2.0
93,우리은행,노원구,중계2.3동,1.0,1.0,1.0,1.0,1.0
94,우리은행,노원구,공릉1동,1.0,1.0,0.0,0.0,0.0
95,우리은행,은평구,녹번동,1.0,1.0,1.0,1.0,1.0
96,우리은행,은평구,대조동,2.0,2.0,2.0,2.0,2.0
97,우리은행,은평구,응암1동,1.0,1.0,1.0,1.0,1.0
98,우리은행,은평구,진관동,1.0,2.0,2.0,2.0,2.0
99,우리은행,은평구,응암3동,1.0,1.0,1.0,1.0,1.0
100,우리은행,은평구,역촌동,1.0,1.0,1.0,1.0,1.0
101,우리은행,서대문구,천연동,1.0,1.0,1.0,1.0,1.0
102,우리은행,서대문구,홍제1동,1.0,1.0,1.0,1.0,0.0
103,우리은행,서대문구,홍제3동,1.0,1.0,1.0,1.0,1.0
104,우리은행,서대문구,홍은1동,1.0,1.0,0.0,0.0,0.0
105,우리은행,서대문구,남가좌2동,1.0,1.0,1.0,1.0,1.0
106,우리은행,서대문구,북가좌2동,1.0,1.0,1.0,1.0,1.0
107,우리은행,서대문구,충현동,1.0,1.0,1.0,1.0,1.0
108,우리은행,서대문구,북아현동,1.0,1.0,1.0,1.0,1.0
109,우리은행,서대문구,신촌동,2.0,2.0,2.0,2.0,2.0
110,우리은행,서대문구,연희동,2.0,2.0,2.0,2.0,2.0
111,우리은행,마포구,용강동,1.0,1.0,1.0,1.0,1.0
112,우리은행,마포구,대흥동,3.0,2.0,2.0,2.0,2.0
113,우리은행,마포구,염리동,0.0,1.0,1.0,1.0,1.0
114,우리은행,마포구,서교동,3.0,3.0,3.0,3.0,3.0
115,우리은행,마포구,합정동,1.0,1.0,1.0,1.0,1.0
116,우리은행,마포구,성산2동,1.0,1.0,1.0,1.0,1.0
117,우리은행,마포구,상암동,3.0,3.0,3.0,3.0,2.0
118,우리은행,마포구,도화동,1.0,1.0,1.0,1.0,0.0
119,우리은행,마포구,서강동,1.0,1.0,1.0,1.0,1.0
120,우리은행,마포구,공덕동,1.0,1.0,1.0,1.0,1.0
121,우리은행,마포구,아현동,1.0,1.0,1.0,1.0,1.0
122,우리은행,양천구,목1동,1.0,1.0,1.0,1.0,1.0
123,우리은행,양천구,신월2동,1.0,1.0,1.0,1.0,1.0
124,우리은행,양천구,신월3동,1.0,1.0,1.0,1.0,0.0
125,우리은행,양천구,신월7동,1.0,1.0,1.0,0.0,0.0
126,우리은행,양천구,신정6동,2.0,2.0,2.0,2.0,1.0
127,우리은행,양천구,목5동,1.0,1.0,1.0,1.0,1.0
128,우리은행,양천구,신정4동,1.0,1.0,1.0,1.0,1.0
129,우리은행,강서구,염창동,2.0,2.0,2.0,2.0,2.0
130,우리은행,강서구,등촌3동,1.0,1.0,1.0,1.0,1.0
131,우리은행,강서구,화곡3동,0.0,0.0,0.0,0.0,1.0
132,우리은행,강서구,화곡6동,2.0,2.0,2.0,2.0,2.0
133,우리은행,강서구,화곡8동,1.0,1.0,1.0,1.0,0.0
134,우리은행,강서구,가양1동,1.0,1.0,2.0,2.0,2.0
135,우리은행,강서구,가양2동,1.0,1.0,1.0,1.0,1.0
136,우리은행,강서구,발산1동,1.0,2.0,2.0,2.0,1.0
137,우리은행,강서구,공항동,4.0,2.0,1.0,0.0,0.0
138,우리은행,강서구,방화2동,0.0,1.0,1.0,0.0,1.0
139,우리은행,강서구,방화3동,1.0,1.0,0.0,0.0,0.0
140,우리은행,강서구,화곡1동,1.0,1.0,1.0,0.0,0.0
141,우리은행,구로구,신도림동,1.0,1.0,1.0,1.0,1.0
142,우리은행,구로구,구로1동,1.0,1.0,1.0,0.0,0.0
143,우리은행,구로구,구로3동,2.0,3.0,3.0,3.0,2.0
144,우리은행,구로구,구로4동,2.0,1.0,0.0,0.0,0.0
145,우리은행,구로구,개봉2동,1.0,1.0,1.0,1.0,1.0
146,우리은행,구로구,오류2동,1.0,1.0,0.0,0.0,0.0
147,우리은행,구로구,구로2동,3.0,3.0,3.0,3.0,3.0
148,우리은행,구로구,개봉1동,1.0,1.0,1.0,1.0,1.0
149,우리은행,구로구,오류2동,0.0,0.0,1.0,1.0,1.0
150,우리은행,금천구,가산동,6.0,7.0,6.0,6.0,4.0
151,우리은행,금천구,독산1동,3.0,3.0,1.0,1.0,0.0
152,우리은행,금천구,독산3동,0.0,0.0,0.0,0.0,1.0
153,우리은행,금천구,시흥1동,2.0,2.0,2.0,2.0,2.0
154,우리은행,영등포구,여의동,9.0,9.0,9.0,8.0,7.0
155,우리은행,영등포구,당산1동,3.0,3.0,2.0,2.0,2.0
156,우리은행,영등포구,당산2동,1.0,0.0,0.0,0.0,0.0
157,우리은행,영등포구,양평1동,1.0,1.0,1.0,1.0,1.0
158,우리은행,영등포구,양평2동,0.0,1.0,1.0,1.0,1.0
159,우리은행,영등포구,신길1동,1.0,1.0,1.0,1.0,0.0
160,우리은행,영등포구,신길3동,2.0,2.0,2.0,1.0,1.0
161,우리은행,영등포구,대림1동,1.0,1.0,1.0,1.0,1.0
162,우리은행,영등포구,대림2동,0.0,1.0,0.0,0.0,0.0
163,우리은행,영등포구,대림3동,1.0,1.0,1.0,1.0,1.0
164,우리은행,영등포구,영등포동,3.0,3.0,2.0,2.0,2.0
165,우리은행,영등포구,문래동,1.0,1.0,1.0,1.0,1.0
166,우리은행,동작구,노량진2동,2.0,2.0,2.0,2.0,2.0
167,우리은행,동작구,상도1동,2.0,2.0,2.0,2.0,2.0
168,우리은행,동작구,상도2동,1.0,1.0,1.0,1.0,1.0
169,우리은행,동작구,대방동,1.0,1.0,1.0,1.0,1.0
170,우리은행,동작구,신대방1동,1.0,1.0,1.0,1.0,1.0
171,우리은행,동작구,신대방2동,1.0,1.0,1.0,1.0,1.0
172,우리은행,동작구,흑석동,2.0,2.0,2.0,2.0,2.0
173,우리은행,관악구,보라매동,1.0,1.0,1.0,1.0,1.0
174,우리은행,관악구,행운동,2.0,2.0,1.0,0.0,0.0
175,우리은행,관악구,인헌동,1.0,1.0,1.0,1.0,1.0
176,우리은행,관악구,남현동,1.0,1.0,1.0,1.0,1.0
177,우리은행,관악구,서림동,1.0,1.0,0.0,0.0,0.0
178,우리은행,관악구,신림동,1.0,1.0,1.0,1.0,1.0
179,우리은행,관악구,대학동,2.0,2.0,2.0,2.0,2.0
180,우리은행,관악구,청룡동,2.0,2.0,2.0,2.0,2.0
181,우리은행,관악구,미성동,1.0,1.0,1.0,1.0,1.0
182,우리은행,서초구,서초1동,2.0,2.0,2.0,2.0,2.0
183,우리은행,서초구,서초2동,4.0,4.0,4.0,3.0,3.0
