일자(년월일),달러(원),위안(원)
2021-09-01,1157.2,179.2
2021-09-02,1161.5,179.9
2021-09-03,1157,179.3
2021-09-06,1156.5,179.4
2021-09-07,1157.8,179.4
2021-09-08,1166.7,180.4
2021-09-09,1169.2,181
2021-09-10,1169.1,181.5
2021-09-13,1176,182.2
2021-09-14,1170.8,181.7
2021-09-15,1170.5,181.7
2021-09-16,1171.8,182.1
2021-09-17,1175,182.3
2021-09-23,1175.5,181.9
2021-09-24,1176.5,182.2
2021-09-27,1176.8,182.1
2021-09-28,1184.4,183.2
2021-09-29,1181.8,182.7
2021-09-30,1184,183
2021-10-01,1188.7,184.1
2021-10-05,1188.7,184.1
2021-10-06,1192.3,184.9
2021-10-07,1190.4,184.5
2021-10-08,1194.6,185.3
2021-10-12,1198.8,185.8
2021-10-13,1193.8,185.1
2021-10-14,1186.8,184.4
2021-10-15,1182.4,183.8
2021-10-18,1187.6,184.5
2021-10-19,1178.7,184.3
2021-10-20,1174.2,184
2021-10-21,1177.2,184.3
2021-10-22,1177.1,184.2
2021-10-25,1168.4,183.2
2021-10-26,1167.6,182.9
2021-10-27,1170,183.4
2021-10-28,1169.7,182.8
2021-10-29,1168.6,183
2021-11-01,1176.5,183.9
2021-11-02,1174.4,183.6
2021-11-03,1181.6,184.6
2021-11-04,1182.6,184.9
2021-11-05,1185.2,185.2
2021-11-08,1183.1,184.9
2021-11-09,1177.2,184.2
2021-11-10,1180.9,184.8
2021-11-11,1180.8,184.4
2021-11-12,1179.6,184.7
2021-11-15,1178.4,184.8
2021-11-16,1179.9,185.2
2021-11-17,1182.5,185.1
2021-11-18,1180.4,185.1
2021-11-19,1185.3,185.6
2021-11-22,1185.1,185.8
2021-11-23,1189.7,186.3
2021-11-24,1186.5,185.6
2021-11-25,1190.2,186.3
2021-11-26,1193.3,186.7
2021-11-29,1193,186.8
2021-11-30,1187.9,186.3
2021-12-01,1179.2,185.2
2021-12-02,1175.9,184.5
2021-12-03,1180.1,185.2
2021-12-06,1183,185.5
2021-12-07,1179.5,185.2
2021-12-08,1175.9,185.1
2021-12-09,1174.5,185.1
2021-12-10,1181.3,185.4
2021-12-13,1180.8,185.5
2021-12-14,1182.6,185.7
2021-12-15,1185.2,186.2
2021-12-16,1183.9,185.7
2021-12-17,1180.9,185
2021-12-20,1190.8,186.4
2021-12-21,1192.9,186.9
2021-12-22,1192,186.9
2021-12-23,1187.9,186.3
2021-12-24,1186.6,186.2
2021-12-27,1186.8,186.2
2021-12-28,1188,186.4
2021-12-29,1186.5,186.2
2021-12-30,1188.8,186.6
2022-01-03,1191.8,187.4
2022-01-04,1194.1,187.2
2022-01-05,1196.9,187.8
2022-01-06,1201,188
2022-01-07,1201.5,188.3
2022-01-10,1199.1,188
2022-01-11,1194.7,187.3
2022-01-12,1190.5,186.9
2022-01-13,1187.5,186.6
2022-01-14,1187.3,186.9
2022-01-17,1192.7,187.8
2022-01-18,1190.1,187.5
2022-01-19,1191.7,187.6
2022-01-20,1192.4,187.8
2022-01-21,1194,188.2
2022-01-24,1196.1,188.7
2022-01-25,1198.6,189.3
2022-01-26,1197.7,189.2
2022-01-27,1202.8,189.4
2022-01-28,1205.5,189.6
2022-02-03,1206.4,189.5
2022-02-04,1197,188.4
2022-02-07,1200.7,188.6
2022-02-08,1197.7,188.2
2022-02-09,1196.5,187.9
2022-02-10,1196.5,188
2022-02-11,1198.5,188.3
2022-02-14,1191.1,187.8
2022-02-15,1199.8,188.8
2022-02-16,1196.7,189.1
2022-02-17,1197.1,189.1
2022-02-18,1195.9,188.9
2022-02-21,1192.1,188.3
2022-02-22,1192.7,188.1
2022-02-23,1193.6,188.6
2022-02-24,1202.4,190.4
2022-02-25,1201.6,190.4
2022-02-28,1202.3,190.5
2022-03-02,1206.1,191
2022-03-03,1204.6,190.5
2022-03-04,1214.2,192
2022-03-07,1227.1,194
2022-03-08,1237,195.8
2022-03-10,1228.3,194.1
2022-03-11,1232,194.6
2022-03-14,1242.3,195
2022-03-15,1242.8,194.4
2022-03-16,1235.7,194.2
2022-03-17,1214.3,190.9
2022-03-18,1207.6,189.8
2022-03-21,1216.3,190.9
2022-03-22,1218.1,191.1
2022-03-23,1213.8,190.1
2022-03-24,1218.8,190.8
2022-03-25,1218.8,191.2
2022-03-28,1227.3,192.2
2022-03-29,1219.8,191.1
2022-03-30,1209.6,190.1
2022-03-31,1212.1,190.7
2022-04-01,1215.5,191.2
2022-04-04,1214.4,190.6
2022-04-05,1212.7,190.6
2022-04-06,1218.3,191.1
2022-04-07,1219.5,191.6
2022-04-08,1225.1,192.6
2022-04-11,1233.1,193.3
2022-04-12,1236.2,193.8
2022-04-13,1228,192.5
2022-04-14,1224.7,192.2
2022-04-15,1229.6,192.7
2022-04-18,1234.4,193.3
2022-04-19,1236.9,193.8
2022-04-20,1236.1,192.3
2022-04-21,1239,191.3
2022-04-22,1239.1,190.9
2022-04-25,1249.9,189.7
2022-04-26,1250.8,190.3
2022-04-27,1265.2,192.1
2022-04-28,1272.5,191.7
2022-04-29,1255.9,189.6
2022-05-02,1265.1,189.8
2022-05-03,1267.8,189.5
2022-05-04,1266.3,190.4
2022-05-06,1272.7,189.6
2022-05-09,1274,188.5
2022-05-10,1276.4,189.6
2022-05-11,1275.3,189.1
2022-05-12,1288.6,189.5
2022-05-13,1284.2,188.3
2022-05-16,1284.1,188.8
2022-05-17,1275,188.1
2022-05-18,1266.6,187.6
2022-05-19,1277.7,188.4
2022-05-20,1268.1,189.3
2022-05-23,1264.1,189.5
2022-05-24,1266.2,189.4
2022-05-25,1264.6,189.3
2022-05-26,1267,187.5
2022-05-27,1256.2,185.9
2022-05-30,1238.6,186
2022-05-31,1237.2,185.7
2022-06-02,1252.1,187.1
2022-06-03,1242.7,187.3
2022-06-07,1257.7,188.5
2022-06-08,1253.8,187.9
2022-06-09,1256.9,187.9
2022-06-10,1268.9,189.5
2022-06-13,1284,190.1
2022-06-14,1286.4,191
2022-06-15,1290.5,192
2022-06-16,1285.6,191.9
2022-06-17,1287.3,192.2
2022-06-20,1292.4,193.4
2022-06-21,1293.6,193.2
2022-06-22,1297.3,192.8
2022-06-23,1301.8,193.9
2022-06-24,1298.2,193.9
2022-06-27,1286.5,192.5
2022-06-28,1283.4,191.8
