일자,달러,위안
2023-01-02,1272.6,183.7
2023-01-03,1271,184.5
2023-01-04,1271.7,184.5
2023-01-05,1269.4,184.5
2023-01-06,1268.6,184.9
2023-01-09,1243.5,183.34
2023-01-10,1244.7,183.53
2023-01-11,1246.2,183.78
2023-01-12,1245.8,184.2
2023-01-13,1241.3,184.06
2023-01-16,1235.3,183.85
2023-01-17,1238.7,182.9
2023-01-18,1237.4,182.57
2023-01-19,1232.1,181.81
2023-01-20,1235.5,182.26
2023-01-25,1231.7,181.91
2023-01-26,1230.7,182.33
2023-01-27,1231.3,182.24
2023-01-30,1227.4,181.71
2023-01-31,1231.9,182.38
